x J0 J1 J2
0.0000 1.000000 0.000000 0.000000
0.0500 0.999375 0.024992 0.000312
0.1000 0.997502 0.049938 0.001249
0.1500 0.994383 0.074789 0.002807
0.2000 0.990025 0.099501 0.004983
0.2500 0.984436 0.124026 0.007772
0.3000 0.977626 0.148319 0.011166
0.3500 0.969609 0.172334 0.015157
0.4000 0.960398 0.196027 0.019735
0.4500 0.950012 0.219353 0.024888
0.5000 0.938470 0.242268 0.030604
0.5500 0.925793 0.264732 0.036868
0.6000 0.912005 0.286701 0.043665
0.6500 0.897132 0.308135 0.050977
0.7000 0.881201 0.328996 0.058787
0.7500 0.864242 0.349244 0.067074
0.8000 0.846287 0.368842 0.075818
0.8500 0.827369 0.387755 0.084996
0.9000 0.807524 0.405950 0.094586
0.9500 0.786787 0.423392 0.104564
1.0000 0.765198 0.440051 0.114903
1.0500 0.742796 0.455897 0.125579
1.1000 0.719622 0.470902 0.136564
1.1500 0.695720 0.485041 0.147830
1.2000 0.671133 0.498289 0.159349
1.2500 0.645906 0.510623 0.171091
1.3000 0.620086 0.522023 0.183027
1.3500 0.593720 0.532470 0.195125
1.4000 0.566855 0.541948 0.207356
1.4500 0.539541 0.550441 0.219687
1.5000 0.511828 0.557937 0.232088
1.5500 0.483764 0.564424 0.244525
1.6000 0.455402 0.569896 0.256968
1.6500 0.426792 0.574344 0.269383
1.7000 0.397985 0.577765 0.281739
1.7500 0.369033 0.580156 0.294003
1.8000 0.339986 0.581517 0.306144
1.8500 0.310898 0.581849 0.318128
1.9000 0.281819 0.581157 0.329926
1.9500 0.252799 0.579446 0.341505
2.0000 0.223891 0.576725 0.352834
2.0500 0.195143 0.573003 0.363884
2.1000 0.166607 0.568292 0.374624
2.1500 0.138330 0.562607 0.385025
2.2000 0.110362 0.555963 0.395059
2.2500 0.082750 0.548378 0.404698
2.3000 0.055540 0.539873 0.413915
2.3500 0.028778 0.530467 0.422684
2.4000 0.002508 0.520185 0.430980
2.4500 -0.023227 0.509052 0.438779
2.5000 -0.048384 0.497094 0.446059
2.5500 -0.072923 0.484340 0.452797
2.6000 -0.096805 0.470818 0.458973
2.6500 -0.119992 0.456561 0.464567
2.7000 -0.142449 0.441601 0.469562
2.7500 -0.164141 0.425972 0.473939
2.8000 -0.185036 0.409709 0.477685
2.8500 -0.205102 0.392849 0.480786
2.9000 -0.224312 0.375427 0.483227
2.9500 -0.242636 0.357485 0.484999
3.0000 -0.260052 0.339059 0.486091
3.0500 -0.276535 0.320191 0.486496
3.1000 -0.292064 0.300921 0.486207
3.1500 -0.306621 0.281291 0.485219
3.2000 -0.320188 0.261343 0.483528
3.2500 -0.332751 0.241120 0.481132
3.3000 -0.344296 0.220663 0.478032
3.3500 -0.354814 0.200018 0.474228
3.4000 -0.364296 0.179226 0.469723
3.4500 -0.372735 0.158331 0.464521
3.5000 -0.380128 0.137378 0.458629
3.5500 -0.386472 0.116408 0.452054
3.6000 -0.391769 0.095466 0.444805
3.6500 -0.396020 0.074593 0.436893
3.7000 -0.399230 0.053834 0.428330
3.7500 -0.401406 0.033229 0.419128
3.8000 -0.402556 0.012821 0.409304
3.8500 -0.402692 -0.007350 0.398874
3.9000 -0.401826 -0.027244 0.387855
3.9500 -0.399973 -0.046821 0.376266
4.0000 -0.397150 -0.066043 0.364128
4.0500 -0.393375 -0.084873 0.351463
4.1000 -0.388670 -0.103273 0.338292
4.1500 -0.383056 -0.121209 0.324641
4.2000 -0.376557 -0.138647 0.310535
4.2500 -0.369200 -0.155553 0.295998
4.3000 -0.361011 -0.171897 0.281059
4.3500 -0.352020 -0.187647 0.265746
4.4000 -0.342257 -0.202776 0.250086
4.4500 -0.331753 -0.217255 0.234110
4.5000 -0.320543 -0.231060 0.217849
4.5500 -0.308659 -0.244167 0.201333
4.6000 -0.296138 -0.256553 0.184593
4.6500 -0.283016 -0.268197 0.167662
4.7000 -0.269331 -0.279081 0.150573
4.7500 -0.255121 -0.289187 0.133358
4.8000 -0.240425 -0.298500 0.116050
4.8500 -0.225284 -0.307006 0.098684
4.9000 -0.209738 -0.314695 0.081292
4.9500 -0.193829 -0.321555 0.063907
5.0000 -0.177597 -0.327579 0.046565
5.0500 -0.161085 -0.332761 0.029298
5.1000 -0.144335 -0.337097 0.012140
5.1500 -0.127389 -0.340585 -0.004877
5.2000 -0.110290 -0.343223 -0.021718
5.2500 -0.093081 -0.345014 -0.038353
5.3000 -0.075803 -0.345961 -0.054748
5.3500 -0.058499 -0.346069 -0.070873
5.4000 -0.041210 -0.345345 -0.086695
5.4500 -0.023978 -0.343798 -0.102186
5.5000 -0.006844 -0.341438 -0.117315
5.5500 0.010152 -0.338279 -0.132055
5.6000 0.026971 -0.334333 -0.146375
5.6500 0.043573 -0.329617 -0.160251
5.7000 0.059920 -0.324148 -0.173656
5.7500 0.075975 -0.317945 -0.186565
5.8000 0.091703 -0.311028 -0.198954
5.8500 0.107067 -0.303419 -0.210800
5.9000 0.122033 -0.295142 -0.222082
5.9500 0.136570 -0.286222 -0.232779
6.0000 0.150645 -0.276684 -0.242873
6.0500 0.164229 -0.266555 -0.252346
6.1000 0.177291 -0.255865 -0.261182
6.1500 0.189806 -0.244642 -0.269365
6.2000 0.201747 -0.232917 -0.276882
6.2500 0.213090 -0.220721 -0.283721
6.3000 0.223812 -0.208087 -0.289871
6.3500 0.233892 -0.195048 -0.295324
6.4000 0.243311 -0.181638 -0.300072
6.4500 0.252050 -0.167890 -0.304109
6.5000 0.260095 -0.153841 -0.307430
6.5500 0.267430 -0.139526 -0.310033
6.6000 0.274043 -0.124980 -0.311916
6.6500 0.279925 -0.110240 -0.313080
6.7000 0.285065 -0.095342 -0.313525
6.7500 0.289457 -0.080323 -0.313256
6.8000 0.293096 -0.065219 -0.312278
6.8500 0.295978 -0.050066 -0.310596
6.9000 0.298102 -0.034902 -0.308219
6.9500 0.299468 -0.019762 -0.305155
7.0000 0.300079 -0.004683 -0.301417
7.0500 0.299938 0.010301 -0.297016
7.1000 0.299051 0.025153 -0.291966
7.1500 0.297426 0.039840 -0.286282
7.2000 0.295071 0.054327 -0.279980
7.2500 0.291997 0.068582 -0.273078
7.3000 0.288217 0.082570 -0.265595
7.3500 0.283745 0.096262 -0.257551
7.4000 0.278596 0.109625 -0.248968
7.4500 0.272788 0.122630 -0.239867
7.5000 0.266340 0.135248 -0.230273
7.5500 0.259270 0.147452 -0.220210
7.6000 0.251602 0.159214 -0.209703
7.6500 0.243357 0.170509 -0.198779
7.7000 0.234559 0.181313 -0.187465
7.7500 0.225234 0.191603 -0.175788
7.8000 0.215408 0.201357 -0.163778
7.8500 0.205108 0.210555 -0.151463
7.9000 0.194362 0.219179 -0.138873
7.9500 0.183200 0.227212 -0.126039
8.0000 0.171651 0.234636 -0.112992
8.0500 0.159746 0.241439 -0.099761
8.1000 0.147517 0.247608 -0.086380
8.1500 0.134996 0.253131 -0.072878
8.2000 0.122215 0.257999 -0.059289
8.2500 0.109207 0.262204 -0.045643
8.3000 0.096006 0.265739 -0.031973
8.3500 0.082645 0.268601 -0.018309
8.4000 0.069157 0.270786 -0.004684
8.4500 0.055577 0.272293 0.008871
8.5000 0.041939 0.273122 0.022325
8.5500 0.028277 0.273275 0.035647
8.6000 0.014623 0.272755 0.048808
8.6500 0.001012 0.271567 0.061778
8.7000 -0.012523 0.269719 0.074527
8.7500 -0.025949 0.267218 0.087027
8.8000 -0.039234 0.264074 0.099251
8.8500 -0.052346 0.260298 0.111170
8.9000 -0.065253 0.255902 0.122759
8.9500 -0.077926 0.250902 0.133993
9.0000 -0.090334 0.245312 0.144847
9.0500 -0.102447 0.239149 0.155298
9.1000 -0.114239 0.232431 0.165323
9.1500 -0.125682 0.225177 0.174901
9.2000 -0.136748 0.217409 0.184011
9.2500 -0.147414 0.209147 0.192635
9.3000 -0.157655 0.200414 0.200755
9.3500 -0.167448 0.191234 0.208354
9.4000 -0.176772 0.181632 0.215417
9.4500 -0.185605 0.171633 0.221929
9.5000 -0.193929 0.161264 0.227879
9.5500 -0.201726 0.150552 0.233255
9.6000 -0.208979 0.139525 0.238046
9.6500 -0.215673 0.128211 0.242245
9.7000 -0.221795 0.116639 0.245845
9.7500 -0.227333 0.104839 0.248839
9.8000 -0.232276 0.092840 0.251223
9.8500 -0.236615 0.080674 0.252995
9.9000 -0.240341 0.068370 0.254153
9.9500 -0.243450 0.055959 0.254698
10.0000 -0.245936 0.043473 0.254630
10.0500 -0.247796 0.030941 0.253954
10.1000 -0.249030 0.018396 0.252672
10.1500 -0.249636 0.005866 0.250792
10.2000 -0.249617 -0.006616 0.248320
10.2500 -0.248976 -0.019020 0.245264
10.3000 -0.247717 -0.031318 0.241636
10.3500 -0.245846 -0.043478 0.237445
10.4000 -0.243372 -0.055473 0.232704
10.4500 -0.240302 -0.067273 0.227427
10.5000 -0.236648 -0.078850 0.221629
10.5500 -0.232421 -0.090178 0.215326
10.6000 -0.227635 -0.101229 0.208535
10.6500 -0.222304 -0.111978 0.201275
10.7000 -0.216443 -0.122399 0.193564
10.7500 -0.210069 -0.132470 0.185424
10.8000 -0.203202 -0.142167 0.176875
10.8500 -0.195859 -0.151467 0.167939
10.9000 -0.188062 -0.160350 0.158640
10.9500 -0.179832 -0.168795 0.149002
11.0000 -0.171190 -0.176785 0.139048
11.0500 -0.162161 -0.184302 0.128803
11.1000 -0.152768 -0.191328 0.118295
11.1500 -0.143037 -0.197850 0.107548
11.2000 -0.132992 -0.203853 0.096590
11.2500 -0.122660 -0.209325 0.085447
11.3000 -0.112068 -0.214255 0.074147
11.3500 -0.101244 -0.218633 0.062718
11.4000 -0.090215 -0.222451 0.051188
11.4500 -0.079008 -0.225701 0.039585
11.5000 -0.067654 -0.228379 0.027936
11.5500 -0.056180 -0.230479 0.016270
11.6000 -0.044616 -0.232000 0.004616
11.6500 -0.032990 -0.232941 -0.007000
11.7000 -0.021331 -0.233300 -0.018549
11.7500 -0.009669 -0.233081 -0.030004
11.8000 0.001967 -0.232285 -0.041337
11.8500 0.013550 -0.230917 -0.052523
11.9000 0.025049 -0.228983 -0.063534
11.9500 0.036439 -0.226490 -0.074345
12.0000 0.047689 -0.223447 -0.084930
12.0500 0.058774 -0.219863 -0.095266
12.1000 0.069667 -0.215749 -0.105328
12.1500 0.080341 -0.211118 -0.115092
12.2000 0.090770 -0.205982 -0.124538
12.2500 0.100931 -0.200357 -0.133642
12.3000 0.110798 -0.194259 -0.142385
12.3500 0.120349 -0.187704 -0.150746
12.4000 0.129561 -0.180710 -0.158708
12.4500 0.138413 -0.173297 -0.166252
12.5000 0.146884 -0.165484 -0.173361
12.5500 0.154955 -0.157292 -0.180021
12.6000 0.162607 -0.148742 -0.186217
12.6500 0.169824 -0.139858 -0.191936
12.7000 0.176588 -0.130662 -0.197165
12.7500 0.182885 -0.121179 -0.201893
12.8000 0.188701 -0.111432 -0.206113
